Unnamed: 0,text,rating,category,product_name,product_id,sold,shop_id,product_url,sentiment,text_clean,is_augmented,text_length,word_count,punctuation_count,capitalization_count
59.0,Pesanan gx sesuai dgn yg d gambar,2,pertukangan,Isi Staples Tembak 8 mm best guard,133507638.0,545,1461393.0,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard,Negative,pesanan gx sesuai dgn yg d gambar,False,33,7,0,1
70.0,Pengiriman dan respon super cepat. Tpi barang tidak sesuai gambar dan tidak kuat untuk menembus jok motor.,2,pertukangan,Isi Staples Tembak 8 mm best guard,133507638.0,545,1461393.0,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard,Negative,pengiriman dan respon super cepat tpi barang tidak sesuai gambar dan tidak kuat untuk menembus jok motor,False,104,17,2,2
95.0,barang yg dikirim tidak sesuai pesanan,1,pertukangan,Isi Staples Tembak 8 mm best guard,133507638.0,545,1461393.0,https://www.tokopedia.com/timurjaya46/isi-staples-tembak-8-mm-best-guard,Negative,barang yg dikirim tidak sesuai pesanan,False,38,6,0,0
117.0,"Php, bilang isi ada diseskripsi pas dipesen berbeda, mubajir rp50.000 ternyata isinya ga cocok",1,pertukangan,steples tembak / staples tembak kenmaster PROMO MURAH staple gun,88842566.0,45,1102298.0,https://www.tokopedia.com/cahayabelawa/steples-tembak-staples-tembak-kenmaster-promo-murah-staple-gun,Negative,php bilang isi ada diseskripsi pas dipesen berbeda mubajir rp ternyata isinya ga cocok,False,86,14,1,1
153.0,barang jelek copot&#34; terus tmpat taro isinya,2,pertukangan,Staple Gun / Staples Tembak / Staples Jok / Hekter MOLLAR 3 in 1,209226141.0,171,580197.0,https://www.tokopedia.com/hmhhardware/staple-gun-staples-tembak-staples-jok-hekter-mollar-3-in-1,Negative,barang jelek copot terus tmpat taro isinya,False,42,7,0,0
188.0,Beli staples gak jual isinya... hanya sekali pake.... ckckck,1,pertukangan,Staple Gun / Staples Tembak / Staples Jok / Hekter MOLLAR 3 in 1,209226141.0,171,580197.0,https://www.tokopedia.com/hmhhardware/staple-gun-staples-tembak-staples-jok-hekter-mollar-3-in-1,Negative,beli staples gak jual isinya hanya sekali pake ckckck,False,53,9,7,1
255.0,"Sebaiknya kalau mau ngirim barang...diperiksa dulu gan, kondisi  barangnya layak apa gak gitu loh.
(Isinya karatan semua)",1,pertukangan,Isi / Refill Staples / Stapler Tembak / Steples / Gun Tacker 10mm,55221811.0,67,452241.0,https://www.tokopedia.com/cgrtools/isi-refill-staples-stapler-tembak-steples-gun-tacker-10mm,Negative,sebaiknya kalau mau ngirim barang diperiksa dulu gan kondisi barangnya layak apa gak gitu loh isinya karatan semua,False,114,18,4,2
280.0,"Produk tidak sesuai, order prohex yg dikirim ini",2,pertukangan,Isi Staples Gun / Isi Gun Tacker Model Taiwan 6 mm x 11 mm PROHEX,185025248.0,118,828267.0,https://www.tokopedia.com/danstools/isi-staples-gun-isi-gun-tacker-model-taiwan-6-mm-x-11-mm-prohex,Negative,produk tidak sesuai order prohex yg dikirim ini,False,47,8,0,1
316.0,brg sdh diterima.................,2,pertukangan,Isi Refill Staples Jok Kulit Motor / Staple Gun,139363396.0,90,1409714.0,https://www.tokopedia.com/megalaris/isi-refill-staples-jok-kulit-motor-staple-gun,Negative,brg sdh diterima,False,16,3,17,0
406.0,tidak bisa buat masang jok gak ke pake,2,pertukangan,Staple Gun / Staples Tembak / Staples Jok / Hekter MOLLAR 3 in 1,68341458.0,163,969587.0,https://www.tokopedia.com/cariperkakas/staple-gun-staples-tembak-staples-jok-hekter-mollar-3-in-1,Negative,tidak bisa buat masang jok gak ke pake,False,38,8,0,0
